,VISIT_AREA_NM,ROAD_NM_ADDR,LOTNO_ADDR,SEARCH_ADDR,data-id
0,제주 국제공항,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,제주특별자치도 제주시 용담2동 2002,11576965
1,제주 건입 현대아파트,제주특별자치도 제주시 만덕로3길 26,제주특별자치도 제주시 건입동 940-3,제주특별자치도 제주시 건입동 940-3,16987450
2,제주원 렌터카 본점,제주특별자치도 제주시 용해로 58-7,제주특별자치도 제주시 용담2동 920-6,제주특별자치도 제주시 용담2동 920-6,31919483
3,피즈,제주특별자치도 제주시 애월읍 애월로 29,제주특별자치도 제주시 애월읍 애월리 2481-3,제주특별자치도 제주시 애월읍 애월리 2481-3,1648347549
4,명월 국민학교,제주특별자치도 제주시 한림읍 명월로 48,제주특별자치도 제주시 한림읍 명월리 1734,제주특별자치도 제주시 한림읍 명월리 1734,1383910337
5,연리지 가든,제주특별자치도 제주시 한경면 두조로 190-20,제주특별자치도 제주시 한경면 두모리 288,제주특별자치도 제주시 한경면 두모리 288,1375427531
6,아르떼 뮤지엄 제주,제주특별자치도 제주시 애월읍 어림비로 478,제주특별자치도 제주시 애월읍 어음리 1503,제주특별자치도 제주시 애월읍 어음리 1503,1669734880
7,천지연폭포,,제주특별자치도 서귀포시 서홍동 2565,제주특별자치도 서귀포시 서홍동 2565,no
8,이스턴 호텔 제주,제주특별자치도 서귀포시 서호중로 65,제주특별자치도 서귀포시 서호동 1522-2,제주특별자치도 서귀포시 서호동 1522-2,1744448811
9,둘레길 중문 본점,제주특별자치도 서귀포시 천제연로 209-1,제주특별자치도 서귀포시 중문동 2006-3,제주특별자치도 서귀포시 중문동 2006-3,1201933332
10,천제연폭포,제주특별자치도 서귀포시 천제연로 132,제주특별자치도 서귀포시 중문동 2232,제주특별자치도 서귀포시 중문동 2232,11491637
11,무로이,제주특별자치도 서귀포시 안덕면 동광본동로 21,제주특별자치도 서귀포시 안덕면 동광리 962,제주특별자치도 서귀포시 안덕면 동광리 962,1519617703
12,까사디니아,제주특별자치도 서귀포시 안덕면 대평로 42,제주특별자치도 서귀포시 안덕면 창천리 901-1,제주특별자치도 서귀포시 안덕면 창천리 901-1,1231669980
13,돈블럭,제주특별자치도 서귀포시 천제연로 303,제주특별자치도 서귀포시 회수동 980,제주특별자치도 서귀포시 회수동 980,1240633847
14,빽다방 호텔 더본 제주점,제주특별자치도 서귀포시 색달로 18,제주특별자치도 서귀포시 색달동 2138,제주특별자치도 서귀포시 색달동 2138,1727743072
15,어멍 국수,제주특별자치도 서귀포시 안덕면 화순로 101,제주특별자치도 서귀포시 안덕면 화순리 337-9,제주특별자치도 서귀포시 안덕면 화순리 337-9,1206944963
16,제주동문시장,제주특별자치도 제주시 동문로 16,제주특별자치도 제주시 일도일동 1148-2,제주특별자치도 제주시 일도일동 1148-2,13347076
17,바이 제주,제주특별자치도 제주시 서해안로 626,제주특별자치도 제주시 용담삼동 1023-2,제주특별자치도 제주시 용담삼동 1023-2,1389108105
18,팜파스 호텔 제주,제주특별자치도 제주시 서해안로 368-3,제주특별자치도 제주시 용담삼동 2555,제주특별자치도 제주시 용담삼동 2555,1790880267
19,고 고리 식당,제주특별자치도 제주시 인다5길 11-10,제주특별자치도 제주시 아라일동 6113-5,제주특별자치도 제주시 아라일동 6113-5,479567079
20,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,제주특별자치도 제주시 조천읍 함덕리 1004-10,no
21,별방진,,제주특별자치도 제주시 구좌읍 하도리 3354,제주특별자치도 제주시 구좌읍 하도리 3354,20059158
22,성산일출봉 농협 하나로마트,제주특별자치도 서귀포시 성산읍 일주동로 4282,제주특별자치도 서귀포시 성산읍 고성리 1106-3,제주특별자치도 서귀포시 성산읍 고성리 1106-3,13373692
23,제주다 모르,제주특별자치도 서귀포시 성산읍 오조로 149-33,제주특별자치도 서귀포시 성산읍 오조리 596,제주특별자치도 서귀포시 성산읍 오조리 596,1405555125
24,성산포항,,제주특별자치도 서귀포시 성산읍 성산리,제주특별자치도 서귀포시 성산읍 성산리,11491438
25,우도,,제주특별자치도 제주시 우도면 연평리,제주특별자치도 제주시 우도면 연평리,11891284
26,로뎀 가든,제주특별자치도 제주시 우도면 우도해안길 264,제주특별자치도 제주시 우도면 연평리 2515,제주특별자치도 제주시 우도면 연평리 2515,31462263
27,드르쿰다in성산,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64,제주특별자치도 서귀포시 성산읍 고성리 372-1,제주특별자치도 서귀포시 성산읍 고성리 372-1,1340404586
28,올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,제주특별자치도 제주시 애월읍 신엄리 2867-3,제주특별자치도 제주시 애월읍 신엄리 2867-3,1709604195
29,빌리가,제주특별자치도 제주시 덕지2길 6,제주특별자치도 제주시 이호일동 1903-1,제주특별자치도 제주시 이호일동 1903-1,no
30,애월 찜,제주특별자치도 제주시 애월읍 애월해안로 454-5,제주특별자치도 제주시 애월읍 신엄리 2807-6,제주특별자치도 제주시 애월읍 신엄리 2807-6,36060798
31,스타벅스 제주 애월 DT점,제주특별자치도 제주시 애월읍 애월해안로 376,제주특별자치도 제주시 애월읍 고내리 340,제주특별자치도 제주시 애월읍 고내리 340,86596503
32,GS25 애월 신엄 해안점,제주특별자치도 제주시 애월읍 애월해안로 466,제주특별자치도 제주시 애월읍 신엄리 2802-6,제주특별자치도 제주시 애월읍 신엄리 2802-6,1949123130
33,단소,제주특별자치도 제주시 애월읍 애월로 139-4,제주특별자치도 제주시 애월읍 애월리 1747-1,제주특별자치도 제주시 애월읍 애월리 1747-1,1317146125
34,판포 포구,,제주특별자치도 제주시 한경면 판포리,제주특별자치도 제주시 한경면 판포리,1012327599
35,선운 정사,제주특별자치도 제주시 애월읍 구몰동길 65,제주특별자치도 제주시 애월읍 봉성리 3608,제주특별자치도 제주시 애월읍 봉성리 3608,13337894
36,돝밭,제주특별자치도 제주시 애월읍 애월해안로 249,제주특별자치도 제주시 애월읍 고내리 1109-1,제주특별자치도 제주시 애월읍 고내리 1109-1,1598819482
37,제주 할망 밥상 애월점,제주특별자치도 제주시 애월읍 하귀9길 8,제주특별자치도 제주시 애월읍 하귀1리 118-3,제주특별자치도 제주시 애월읍 하귀1리 118-3,1269288996
38,메가 MGC 커피 제주일주서로점,제주특별자치도 제주시 일주서로 7281,제주특별자치도 제주시 외도이동 1939,제주특별자치도 제주시 외도이동 1939,1259216430
39,대원암,제주특별자치도 제주시 월대5길 17,제주특별자치도 제주시 외도이동 304-1,제주특별자치도 제주시 외도이동 304-1,no
40,이호테우해수욕장,,제주특별자치도 제주시 이호일동 1665-13,제주특별자치도 제주시 이호일동 1665-13,no
41,제주 국제공항 국내선 출발 3번 게이트,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담2동 2002,제주특별자치도 제주시 용담2동 2002,33253697
42,하이 렌터카 제주본점,제주특별자치도 제주시 용해로 58-7,제주특별자치도 제주시 용담이동 920-6,제주특별자치도 제주시 용담이동 920-6,31919483
